file,neutral,angry,happy,sad,dominant_emotion
english.mp3,0.9054,0.05,0.0427,0.0019,neutral
english1.mp3,0.5763,0.0154,0.3894,0.0188,neutral
english2.mp3,0.402,0.0165,0.0766,0.5049,sad
english3.mp3,0.0415,0.3579,0.5938,0.0068,happy
english4.mp3,0.3186,0.1125,0.5306,0.0383,happy
english5.mp3,0.073,0.193,0.7282,0.0059,happy
english6.mp3,0.2477,0.0241,0.4378,0.2904,happy
english7.mp3,0.2437,0.0122,0.6577,0.0864,happy
english8.mp3,0.5018,0.0609,0.3332,0.1041,neutral
english9.mp3,0.116,0.0104,0.7373,0.1362,happy
